ObjetosID,Objetos,TituloID
31,Joyas,81
5,Libro,81
29,Objeto uso individual,81
76,Objetos de porcelana,81
77,Caldero,85
73,Cesta / canasta,85
24,Cestería,85
0,Enseres domésticos,85
1,Florero,85
21,Objeto de adorno o servicio de mesa,85
52,Recipiente,85
27,Vaso / copa,85
77,Caldero,87
78,Cubo,87
0,Enseres domésticos,87
79,Escoba,87
57,Jarro / jarra / jarrón,87
21,Objeto de adorno o servicio de mesa,87
80,Olla,87
52,Recipiente,87
54,Tonel,87
64,Objeto o atributo de santos y mártires,89
8,Objetos de iconografía cristiana,89
9,Objetos o atributos mariológicos,89
65,Palma,89
0,Enseres domésticos,92
1,Florero,92
31,Joyas,94
29,Objeto uso individual,94
47,Alimentos,95
0,Enseres domésticos,95
52,Recipiente,95
55,Vino,95
19,Armas,96
33,Calavera / cráneo,96
38,Corona,96
81,Corona de laurel,96
20,Espada,96
5,Libro,96
82,Llave,96
83,Objeto de escritorio,96
29,Objeto uso individual,96
84,Pluma,96
38,Corona,98
31,Joyas,98
29,Objeto uso individual,98
0,Enseres domésticos,100
57,Jarro / jarra / jarrón,100
21,Objeto de adorno o servicio de mesa,100
62,Armadura,101
19,Armas,101
85,Carruajes,101
86,Casco / yelmo,101
24,Cestería,101
0,Enseres domésticos,101
87,Frutero,101
88,Herramienta / utensilios de trabajo,101
89,Instrumentos agrícolas / ganaderos / de pesca / de caza,101
2,Instrumentos de cuerda / cordófonos,101
60,Instrumentos de percusión / idiófonos,101
3,Instrumentos musicales,101
90,Lira,101
21,Objeto de adorno o servicio de mesa,101
91,Platillos,101
92,Transporte,101
93,Transporte terrestre,101
0,Enseres domésticos,102
1,Florero,102
0,Enseres domésticos,106
1,Florero,106
62,Armadura,107
19,Armas,107
94,Lanza,107
67,Abanico,108
88,Herramienta / utensilios de trabajo,108
89,Instrumentos agrícolas / ganaderos / de pesca / de caza,108
23,Jardín,108
29,Objeto uso individual,108
73,Cesta / canasta,113
24,Cestería,113
0,Enseres domésticos,113
6,Elementos heráldicos y nobiliarios,114
95,Escudo heráldico,114
6,Elementos heráldicos y nobiliarios,115
95,Escudo heráldico,115
7,Insignia / condecoración,115
96,Toisón de Oro,115
12,Órdenes Nobiliarias,115
2,Instrumentos de cuerda / cordófonos,119
3,Instrumentos musicales,119
31,Joyas,119
97,Laúd,119
5,Libro,119
39,Música escrita / partituras,119
29,Objeto uso individual,119
98,Vihuela,119
44,Arco / flecha,121
19,Armas,121
0,Enseres domésticos,121
42,Escultura,121
99,Espejo,121
100,Espejo de mano,121
1,Florero,121
66,Fuente / pozo,121
50,Instrumentos de viento / aerófonos,121
3,Instrumentos musicales,121
23,Jardín,121
31,Joyas,121
15,Mueble,121
16,Mueble de asiento o reposo,121
29,Objeto uso individual,121
43,Objetos artísticos,121
52,Recipiente,121
18,Silla / sillón,121
101,Trompa,121
102,Trompa natural / cuerno,121
62,Armadura,122
19,Armas,122
73,Cesta / canasta,122
24,Cestería,122
63,Cetro,122
38,Corona,122
0,Enseres domésticos,122
20,Espada,122
103,Indumentaria / vestido,122
104,Indumentaria cortesana,122
2,Instrumentos de cuerda / cordófonos,122
3,Instrumentos musicales,122
105,Manto real,122
29,Objeto uso individual,122
8,Objetos de iconografía cristiana,122
106,Objetos de la Pasión de Cristo,122
107,Textil,122
108,Viola,122
31,Joyas,125
29,Objeto uso individual,125
77,Caldero,126
78,Cubo,126
0,Enseres domésticos,126
79,Escoba,126
57,Jarro / jarra / jarrón,126
21,Objeto de adorno o servicio de mesa,126
80,Olla,126
52,Recipiente,126
0,Enseres domésticos,127
1,Florero,127
36,Elemento de arquitectura,128
109,Ventana / vidriera,128
110,Ventana acristalada con piezas poligonales de vidrio plano,128
111,Arpa,131
112,Arpa diatónica,131
113,Bajo,131
114,Bajo de violón,131
115,Guitarra,131
2,Instrumentos de cuerda / cordófonos,131
50,Instrumentos de viento / aerófonos,131
3,Instrumentos musicales,131
39,Música escrita / partituras,131
40,Música ilegible,131
116,Órgano,131
117,Órgano realejo o portativo,131
118,Cornucopia,132
119,Elementos mitológicos,132
66,Fuente / pozo,132
23,Jardín,132
31,Joyas,134
29,Objeto uso individual,134
45,Cuadro dentro del cuadro,139
43,Objetos artísticos,139
46,Pintura,139
0,Enseres domésticos,140
21,Objeto de adorno o servicio de mesa,140
76,Objetos de porcelana,140
31,Joyas,143
29,Objeto uso individual,143
67,Abanico,148
0,Enseres domésticos,148
1,Florero,148
120,Guantes,148
31,Joyas,148
5,Libro,148
14,Mesa,148
15,Mueble,148
16,Mueble de asiento o reposo,148
29,Objeto uso individual,148
0,Enseres domésticos,149
1,Florero,149
5,Libro,149
14,Mesa,149
121,Misal,149
15,Mueble,149
16,Mueble de asiento o reposo,149
107,Textil,149
122,Textil de uso doméstico,149
6,Elementos heráldicos y nobiliarios,155
7,Insignia / condecoración,155
5,Libro,155
29,Objeto uso individual,155
96,Toisón de Oro,155
12,Órdenes Nobiliarias,155
33,Calavera / cráneo,157
38,Corona,160
29,Objeto uso individual,160
24,Cestería,161
0,Enseres domésticos,161
1,Florero,161
66,Fuente / pozo,161
23,Jardín,161
47,Alimentos,163
123,Cítara,163
0,Enseres domésticos,163
99,Espejo,163
100,Espejo de mano,163
2,Instrumentos de cuerda / cordófonos,163
124,Instrumentos de percusión / membranófonos,163
3,Instrumentos musicales,163
31,Joyas,163
90,Lira,163
125,Lira clásica,163
14,Mesa,163
15,Mueble,163
16,Mueble de asiento o reposo,163
29,Objeto uso individual,163
126,Pandereta,163
52,Recipiente,163
18,Silla / sillón,163
14,Mesa,165
15,Mueble,165
16,Mueble de asiento o reposo,165
18,Silla / sillón,165
24,Cestería,168
25,Cesto de costura,168
0,Enseres domésticos,168
44,Arco / flecha,170
19,Armas,170
50,Instrumentos de viento / aerófonos,170
3,Instrumentos musicales,170
94,Lanza,170
101,Trompa,170
102,Trompa natural / cuerno,170
77,Caldero,174
78,Cubo,174
0,Enseres domésticos,174
79,Escoba,174
57,Jarro / jarra / jarrón,174
21,Objeto de adorno o servicio de mesa,174
80,Olla,174
52,Recipiente,174
54,Tonel,174
19,Armas,175
28,Armas de fuego,175
127,Gorra,176
29,Objeto uso individual,176
30,Sombrero,176
0,Enseres domésticos,177
1,Florero,177
14,Mesa,177
15,Mueble,177
19,Armas,178
22,Botella,178
128,Botella con cuerpo de ánfora,178
63,Cetro,178
38,Corona,178
81,Corona de laurel,178
0,Enseres domésticos,178
129,Escudo,178
94,Lanza,178
29,Objeto uso individual,178
24,Cestería,181
25,Cesto de costura,181
0,Enseres domésticos,181
14,Mesa,181
15,Mueble,181
47,Alimentos,184
73,Cesta / canasta,184
24,Cestería,184
74,Dados,184
0,Enseres domésticos,184
75,Juego / juguete,184
29,Objeto uso individual,184
72,Pan,184
30,Sombrero,184
6,Elementos heráldicos y nobiliarios,185
7,Insignia / condecoración,185
6,Elementos heráldicos y nobiliarios,186
95,Escudo heráldico,186
130,Animal de carga,188
73,Cesta / canasta,188
24,Cestería,188
0,Enseres domésticos,188
92,Transporte,188
93,Transporte terrestre,188
0,Enseres domésticos,189
14,Mesa,189
15,Mueble,189
16,Mueble de asiento o reposo,189
21,Objeto de adorno o servicio de mesa,189
18,Silla / sillón,189
67,Abanico,190
19,Armas,190
28,Armas de fuego,190
36,Elemento de arquitectura,190
103,Indumentaria / vestido,190
104,Indumentaria cortesana,190
29,Objeto uso individual,190
107,Textil,190
109,Ventana / vidriera,190
131,Ventana acristalada con hojas de vidrio plano,190
132,Anteojos telescópicos,191
133,Brasero,191
24,Cestería,191
