FaunaID,Fauna,TituloID
88,Mochuelo común (Athene noctua),352
10,Mono (Primates),352
89,Negrón careto ( Melanitta perspicillata),352
53,Picogordo (Coccothraustes coccothraustes),352
57,Porrón moñudo (Aythya fuligula),352
58,Porrón osculado (Bucephala clangula),352
0,Artrópodos (Filo: Arthropoda),355
15,Perro (Canis lupus familiaris),358
13,Paloma (Columba ssp),364
14,Caballo (Equus ferus caballus),367
104,Ratón de campo (Apodemus sylvaticus),372
14,Caballo (Equus ferus caballus),375
7,Jilguero (Carduelis carduelis),383
13,Paloma (Columba ssp),384
13,Paloma (Columba ssp),386
47,Ganso / Oca / Ánsar doméstico (Anser anser),389
66,Halcón peregrino (Falco peregrinus),389
52,Pavo real (Pavo cristatus),389
15,Perro (Canis lupus familiaris),389
3,Ciervo (Cervus elaphus),390
0,Artrópodos (Filo: Arthropoda),397
138,Libélula (Brachytron pratense),397
93,Mariposa de la col (Pieris brassicae),397
139,Mosca (Neomyia sp. o Pyrellia sp.),397
140,Tórtola europea (Streptopelia turtur),398
14,Caballo (Equus ferus caballus),403
3,Ciervo (Cervus elaphus),406
3,Ciervo (Cervus elaphus),408
2,Oveja (Ovis aries),408
141,Vaca (Bos taurus L.),408
111,Codorniz (Coturnix coturnix),414
0,Artrópodos (Filo: Arthropoda),417
105,Saltamontes / Esperanzas (Tettigonia viridissima),417
0,Artrópodos (Filo: Arthropoda),418
142,Avetoro (Botaurus stellaris),418
74,Bogavante / hibricante / cabrajo (Homarus gammarus),418
3,Ciervo (Cervus elaphus),418
65,Cisne vulgar (Cygnus olor),418
5,Conejo (Oryctolagus cuniculus),418
42,Faisán vulgar (Phasianus colchicus),418
46,Gallo / gallina (Gallus gallus),418
20,Garza (Ardea),418
143,Garza imperial (Ardea purpurea),418
49,Guacamayo rojo (Ara chloroptera),418
10,Mono (Primates),418
52,Pavo real (Pavo cristatus),418
144,Perdiz pardilla (Perdix perdix),418
57,Porrón moñudo (Aythya fuligula),418
145,Abeja de patas peludas (Anthophora plumipes),420
0,Artrópodos (Filo: Arthropoda),420
115,Escarabajo de las azucenas (Lilioceris lilii),420
93,Mariposa de la col (Pieris brassicae),420
25,Mariquita /mariquita de 7 puntos / mariquita común (Coccinella septempunctata),420
146,Mosca sírfida (Dasysyrphus albostriatus),420
95,Ortiguera (Aglais urticae),420
147,Pulgón (Aphididae gen. sp.),420
7,Jilguero (Carduelis carduelis),423
2,Oveja (Ovis aries),423
148,Petirrojo (Erithacus rubecula),423
2,Oveja (Ovis aries),427
13,Paloma (Columba ssp),429
46,Gallo / gallina (Gallus gallus),430
14,Caballo (Equus ferus caballus),431
66,Halcón peregrino (Falco peregrinus),431
149,Lechuza común (Tyto alba),431
10,Mono (Primates),431
13,Paloma (Columba ssp),431
15,Perro (Canis lupus familiaris),431
0,Artrópodos (Filo: Arthropoda),433
150,Olmera / mariposa de los olmos (Nymphalis polychloros),433
15,Perro (Canis lupus familiaris),439
151,Abeja (Anthophora atroalba),446
0,Artrópodos (Filo: Arthropoda),446
109,Blanca verdinervada (Pieris napi),446
152,Cervantes (Erynnis tages),446
153,Escarabajo (Anisoplia baetica),446
154,Escarabajo rojo del álamo (Chrysomela populi),446
93,Mariposa de la col (Pieris brassicae),446
0,Artrópodos (Filo: Arthropoda),451
19,Cuervo (Corvus corax),452
22,León (Panthera leo),452
0,Artrópodos (Filo: Arthropoda),453
155,Medioluto (Melanargia sp.),453
14,Caballo (Equus ferus caballus),454
46,Gallo / gallina (Gallus gallus),454
15,Perro (Canis lupus familiaris),454
13,Paloma (Columba ssp),464
0,Artrópodos (Filo: Arthropoda),470
109,Blanca verdinervada (Pieris napi),470
156,Gitana (Arctia caja),470
95,Ortiguera (Aglais urticae),470
60,Vulcana / atalanta /numerada (Vanessa atalanta),470
157,Abeja (Halictus sp. o Lasioglossum sp. o Colletes sp.),471
0,Artrópodos (Filo: Arthropoda),471
158,Caballito del diablo (Calopteryx sp.),471
159,Chinche de las malvas / zapatero / chinche roja / San Antonio (Pyrrhocoris apterus),471
93,Mariposa de la col (Pieris brassicae),471
118,Mariposa Ícaro (Polyommatus icarus) o Niña celeste (Polyommatus bellargus),471
120,Polilla / Pequeña urraca (Anania hortulata),471
97,Sátiro negro (Satyrus actaea),471
60,Vulcana / atalanta /numerada (Vanessa atalanta),471
