FloraID,TituloID
40,265
2,265
19,265
13,265
5,265
6,265
37,266
0,267
10,267
49,267
78,267
5,267
6,267
78,268
4,268
5,268
45,269
46,269
10,270
7,271
5,271
10,272
49,272
24,272
3,272
5,272
6,272
7,273
5,274
60,275
11,275
2,275
67,275
5,275
15,275
32,276
0,276
102,276
103,276
14,276
10,276
18,276
80,276
62,276
30,276
24,276
13,276
5,276
104,276
6,276
75,277
7,278
0,279
24,279
41,279
5,279
6,279
62,280
8,280
7,281
0,282
105,282
5,283
9,284
0,284
10,284
23,284
11,284
30,284
2,284
5,284
15,284
6,284
64,285
0,285
11,285
62,285
30,285
13,285
42,285
5,285
6,285
64,286
0,286
11,286
62,286
63,286
30,286
12,286
13,286
42,286
5,286
15,286
6,286
5,287
75,288
19,288
5,289
7,290
17,290
8,291
0,292
18,292
50,292
66,292
12,292
40,292
2,292
13,292
4,292
5,292
15,292
6,292
96,293
21,294
39,294
7,294
106,294
75,294
76,294
45,294
2,294
19,294
13,294
4,294
73,294
34,294
5,294
6,294
7,295
7,296
21,297
0,297
7,297
10,297
24,297
2,297
5,297
6,297
7,298
7,299
21,300
0,300
23,300
11,300
7,301
11,301
30,301
3,301
13,301
4,301
5,301
6,301
64,302
0,302
7,302
10,302
11,302
65,302
107,302
29,302
5,302
6,302
10,303
24,303
21,304
32,304
9,304
0,304
14,304
10,304
12,304
13,304
5,304
5,305
10,306
78,307
5,307
6,307
7,308
2,308
5,308
6,308
34,309
11,310
30,310
2,310
5,310
78,311
5,311
6,311
10,312
5,312
20,313
23,313
24,313
0,314
11,314
67,314
5,314
6,314
2,315
37,316
108,316
57,317
5,318
6,318
2,319
8,320
5,321
32,322
109,322
86,322
110,322
62,322
63,322
30,322
34,322
85,322
9,323
0,323
11,323
111,323
24,323
5,323
6,323
69,324
14,325
6,325
36,326
5,326
17,327
69,328
46,329
17,330
7,331
0,332
11,332
30,332
5,332
6,332
5,333
17,334
34,335
9,336
47,336
12,336
112,336
13,336
5,336
15,336
6,336
7,337
27,337
5,337
19,338
7,339
9,340
0,340
14,340
10,340
11,340
67,340
5,340
6,340
7,341
5,342
7,343
2,344
5,344
20,345
32,345
9,345
60,345
0,345
7,345
86,345
103,345
90,345
95,345
10,345
49,345
23,345
113,345
92,345
89,345
18,345
50,345
97,345
1,345
51,345
45,345
29,345
30,345
36,345
40,345
2,345
37,345
41,345
3,345
13,345
114,345
42,345
4,345
115,345
52,345
5,345
15,345
104,345
98,345
6,345
74,345
116,346
117,346
2,346
5,346
98,346
78,347
4,347
5,347
57,348
32,349
22,349
41,349
5,349
6,349
62,350
84,350
18,351
21,352
0,352
7,352
90,352
29,352
30,352
40,352
2,352
37,352
19,352
13,352
5,352
6,352
24,353
5,353
5,354
10,355
24,355
5,355
7,356
17,357
43,358
5,359
5,360
28,361
0,361
10,361
5,361
6,361
7,362
5,363
7,364
8,365
21,366
11,366
5,366
6,366
2,367
17,368
21,369
0,369
11,369
29,369
111,369
3,369
6,369
5,370
0,371
10,371
30,371
2,371
13,371
5,371
6,371
10,372
24,372
6,372
5,373
7,374
2,375
7,376
5,377
118,378
64,378
60,378
38,378
119,378
18,378
80,378
16,378
24,378
36,378
79,378
37,378
46,378
120,378
58,378
53,378
5,378
72,378
121,378
7,379
2,379
17,379
5,379
10,380
0,381
40,381
6,382
38,383
30,383
6,383
7,384
122,385
112,385
54,385
7,386
17,387
5,388
21,389
5,390
